1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120
1	2	3	5	9	10	18	21	24	26	27	30	36	39	46	47	50	58	65	66	68	69	70	71	74	75	76	78	79	81	84	86	87	88	89	90	91	95	97	98	99	104	110	111	116	117	118	119	122	123	128	131	134	135	138	139	140	143	144	147	148	150	151	152	153	155	156	157	160	162	163	164	165	166	167	168	169	170	171	173	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	622	643	661	663	711	721	724	732	733	993	994	995	997
A001　10％ルール	A001　10％ルール	A003　本社主催イベント・会議	A005　有給・特別休暇・休職	A005　有給・特別休暇・休職	A003　本社主催イベント・会議	A001　10％ルール	A005　有給・特別休暇・休職	A003　本社主催イベント・会議	A001　10％ルール	A003　本社主催イベント・会議	A002　人事評価/被評価	A001　10％ルール	A005　有給・特別休暇・休職	A006　カンパニー主催会議	A003　本社主催イベント・会議	A004　社内研修受講	A003　本社主催イベント・会議	A001　10％ルール	A001　10％ルール	A003　本社主催イベント・会議	A005　有給・特別休暇・休職	A003　本社主催イベント・会議	A006　カンパニー主催会議	A003　本社主催イベント・会議	A003　本社主催イベント・会議	A001　10％ルール	A003　本社主催イベント・会議	J029   StartupSide Moriya（守谷自主インキュ）	A005　有給・特別休暇・休職	A005　有給・特別休暇・休職	A001　10％ルール	A005　有給・特別休暇・休職	J037　クリプトアニメラボLLP	A003　本社主催イベント・会議	A005　有給・特別休暇・休職	A005　有給・特別休暇・休職	A005　有給・特別休暇・休職	A001　10％ルール	A001　10％ルール	A003　本社主催イベント・会議	A005　有給・特別休暇・休職	A003　本社主催イベント・会議	A001　10％ルール	A005　有給・特別休暇・休職	A003　本社主催イベント・会議	A005　有給・特別休暇・休職	A003　本社主催イベント・会議	P25007 TCIC	A005　有給・特別休暇・休職	A001　10％ルール	A003　本社主催イベント・会議	A005　有給・特別休暇・休職	A005　有給・特別休暇・休職	A004　社内研修受講	A005　有給・特別休暇・休職	A005　有給・特別休暇・休職	A003　本社主催イベント・会議	A005　有給・特別休暇・休職	A005　有給・特別休暇・休職	A003　本社主催イベント・会議	C001 1Cカンパニー販管費	H005　広報	A001　10％ルール	A003　本社主催イベント・会議	A003　本社主催イベント・会議	A005　有給・特別休暇・休職	A005　有給・特別休暇・休職	A003　本社主催イベント・会議	A003　本社主催イベント・会議	A003　本社主催イベント・会議	A001　10％ルール	A005　有給・特別休暇・休職	A005　有給・特別休暇・休職	A003　本社主催イベント・会議	A003　本社主催イベント・会議	A004　社内研修受講	A005　有給・特別休暇・休職	A003　本社主催イベント・会議	A003　本社主催イベント・会議	A003　本社主催イベント・会議	A004　社内研修受講	A003　本社主催イベント・会議	A003　本社主催イベント・会議	A003　本社主催イベント・会議	A001　10％ルール	P25007 TCIC	A005　有給・特別休暇・休職	J003 StartupSide Tokyo（東京自主インキュ）	A005　有給・特別休暇・休職	J057 周年イベント委員会	P25033 令和７年度沖縄県立芸術大学キャリア支援事業	A003　本社主催イベント・会議	A003　本社主催イベント・会議	A005　有給・特別休暇・休職	A005　有給・特別休暇・休職	A004　社内研修受講	A001　10％ルール	A003　本社主催イベント・会議	A005　有給・特別休暇・休職	C002 2Cカンパニー販管費	A001　10％ルール	A001　10％ルール	A001　10％ルール	A003　本社主催イベント・会議	A003　本社主催イベント・会議	A003　本社主催イベント・会議	A005　有給・特別休暇・休職	J001　京都オフィス（StartupSide Kyoto）	J003 StartupSide Tokyo（東京自主インキュ）	A005　有給・特別休暇・休職	A007　新規事業開発	H005　広報	J001　京都オフィス（StartupSide Kyoto）	P25034 京都府ZET-valleyオフィス 2025	P25034 京都府ZET-valleyオフィス 2025	A001　10％ルール	A003　本社主催イベント・会議	A003　本社主催イベント・会議	A003　本社主催イベント・会議
A003　本社主催イベント・会議	A002　人事評価/被評価	C004 4Cカンパニー販管費	A006　カンパニー主催会議	H005　広報	A005　有給・特別休暇・休職	A003　本社主催イベント・会議	H001　財務総務	A006　カンパニー主催会議	A003　本社主催イベント・会議	A005　有給・特別休暇・休職	A003　本社主催イベント・会議	A003　本社主催イベント・会議	A006　カンパニー主催会議	C004 4Cカンパニー販管費	A005　有給・特別休暇・休職	A006　カンパニー主催会議	A005　有給・特別休暇・休職	A003　本社主催イベント・会議	A003　本社主催イベント・会議	A005　有給・特別休暇・休職	H001　財務総務	A005　有給・特別休暇・休職	A009　HR面談	A006　カンパニー主催会議	P25001 Startup Hub Tokyo 丸の内	A006　カンパニー主催会議	A006　カンパニー主催会議	P25030 プロロジス	P25006 南相馬市産業創造センター	J039　ミライクルラボ	A003　本社主催イベント・会議	P25004 メグリバ(カフェ・ショップ)	P25007 TCIC	C001 1Cカンパニー販管費	P25002 六郷BASE	H001　財務総務	H008　ITインフラ	A005　有給・特別休暇・休職	J029   StartupSide Moriya（守谷自主インキュ）	A004　社内研修受講	P25003 メグリバ(コワーキング)	A005　有給・特別休暇・休職	A003　本社主催イベント・会議		A006　カンパニー主催会議	J057 周年イベント委員会	A005　有給・特別休暇・休職	P25018 IntoGlobal	H007　研修運営・講師	A003　本社主催イベント・会議	A004　社内研修受講	A006　カンパニー主催会議	A007　新規事業開発	P25011 ものムーブ2025	H001　財務総務	P25002 六郷BASE	A005　有給・特別休暇・休職	C003 3Cカンパニー販管費	C003 3Cカンパニー販管費	A004　社内研修受講	P25001 Startup Hub Tokyo 丸の内	P25001 Startup Hub Tokyo 丸の内	A005　有給・特別休暇・休職	A005　有給・特別休暇・休職	C001 1Cカンパニー販管費	J042　起業支援ラボ	C003 3Cカンパニー販管費	A005　有給・特別休暇・休職	A005　有給・特別休暇・休職	A005　有給・特別休暇・休職	A003　本社主催イベント・会議	J028　ビジネスセンター名古屋錦（StartupSide Nagoya）	A006　カンパニー主催会議	A005　有給・特別休暇・休職	A004　社内研修受講	A005　有給・特別休暇・休職	P25007 TCIC	A004　社内研修受講	A005　有給・特別休暇・休職	A007　新規事業開発	A005　有給・特別休暇・休職	A006　カンパニー主催会議	A005　有給・特別休暇・休職	A009　HR面談	A004　社内研修受講	P25018 IntoGlobal	C006 社長室カンパニー販管費	P25010 東京農工大学西東京国際イノベーション共創拠点 オフィス会員及びパートナー会員のサポート業務	A009　HR面談	P25012 K-NIC運営業務		A004　社内研修受講	A006　カンパニー主催会議	P25002 六郷BASE	H013　クリエイティブチーム	A006　カンパニー主催会議	A005　有給・特別休暇・休職	H003　HR（採用）	P25006 南相馬市産業創造センター	J028　ビジネスセンター名古屋錦（StartupSide Nagoya）	C003 3Cカンパニー販管費	A003　本社主催イベント・会議	A003　本社主催イベント・会議	A004　社内研修受講	A004　社内研修受講	A004　社内研修受講	J001　京都オフィス（StartupSide Kyoto）	J002　大阪オフィス（StartupSide Osaka）		J003 StartupSide Tokyo（東京自主インキュ）	P25021 江戸川区アントレプレナー交流事業　EDONOWA	P25005 イデタチ東京・ツムギバ	J042　起業支援ラボ	P25054 大阪産業局 スタートアップリスト化作業	P25054 大阪産業局 スタートアップリスト化作業	A003　本社主催イベント・会議	A005　有給・特別休暇・休職	A005　有給・特別休暇・休職	A006　カンパニー主催会議
A005　有給・特別休暇・休職	A003　本社主催イベント・会議	J008　商品開発事業	H002　HR	J041　ヨムリエ	C001 1Cカンパニー販管費	A005　有給・特別休暇・休職	H004　HR（新人研修講師）	C001 1Cカンパニー販管費	A005　有給・特別休暇・休職	A006　カンパニー主催会議	A005　有給・特別休暇・休職	A005　有給・特別休暇・休職	H003　HR（採用）	J057 周年イベント委員会	H001　財務総務	H013　クリエイティブチーム	A006　カンパニー主催会議	A006　カンパニー主催会議	A006　カンパニー主催会議	A006　カンパニー主催会議	H003　HR（採用）	A006　カンパニー主催会議	H003　HR（採用）	P25011 ものムーブ2025		A007　新規事業開発	P25001 Startup Hub Tokyo 丸の内		P25009 かわさき新産業創造センター		A005　有給・特別休暇・休職			H007　研修運営・講師		J043 Evocare	J049　ISMS取得	J056 情報システム委員会	P25002 六郷BASE	A005　有給・特別休暇・休職		A006　カンパニー主催会議	H005　広報		H005　広報	P25012 K-NIC運営業務	C004 4Cカンパニー販管費	P25043 世界に羽ばたくアニメーター等育成支援事業運営業務委託		A004　社内研修受講	A006　カンパニー主催会議	H003　HR（採用）	A009　HR面談	P25016 新宿区経営サポート事業	J037　クリプトアニメラボLLP		H013　クリエイティブチーム	P25012 K-NIC運営業務	J057 周年イベント委員会	A005　有給・特別休暇・休職			A006　カンパニー主催会議	A007　新規事業開発	P25023 令和６年度「新事業分野開拓者認定制度(東京都トライアル発注)」	P25001 Startup Hub Tokyo 丸の内	P25006 南相馬市産業創造センター	A006　カンパニー主催会議	C003 3Cカンパニー販管費	A006　カンパニー主催会議	C001 1Cカンパニー販管費	P25036 あいち補助金2025	A007　新規事業開発	A006　カンパニー主催会議	C002 2Cカンパニー販管費	A007　新規事業開発	P25018 IntoGlobal	A005　有給・特別休暇・休職	H005　広報	H005　広報	P25007 TCIC	J003 StartupSide Tokyo（東京自主インキュ）	P25003 メグリバ(コワーキング)	J007　グローバル事業	A005　有給・特別休暇・休職	P25043 世界に羽ばたくアニメーター等育成支援事業運営業務委託		P25059 創業支援等事業計画機能強化事業にかかる創業支援担当者向け講習会運営事務局業務	P25002 六郷BASE			A005　有給・特別休暇・休職	A007　新規事業開発	P25059 創業支援等事業計画機能強化事業にかかる創業支援担当者向け講習会運営事務局業務	P25013 「うべ産業共創イノベーションセンター 志」運営業務	C001 1Cカンパニー販管費	A009　HR面談	H013　クリエイティブチーム	P25009 かわさき新産業創造センター	P25036 あいち補助金2025	J057 周年イベント委員会	A006　カンパニー主催会議	A004　社内研修受講	P25003 メグリバ(コワーキング)	J003 StartupSide Tokyo（東京自主インキュ）	H002　HR	J051 StartupSide Magazine	J051 StartupSide Magazine		P25032 品川区スタートアップ・エコシステム推進事業業務委託		P25016 新宿区経営サポート事業	J061 イベント戦略室			A005　有給・特別休暇・休職	A006　カンパニー主催会議	A006　カンパニー主催会議	C002 2Cカンパニー販管費
A006　カンパニー主催会議	A005　有給・特別休暇・休職	J009　お通り男史プロジェクト	H003　HR（採用）	P25001 Startup Hub Tokyo 丸の内	P25010 東京農工大学西東京国際イノベーション共創拠点 オフィス会員及びパートナー会員のサポート業務	A006　カンパニー主催会議	J040 EV System	P25008 嘉手納町マルチメディアセンター	A006　カンパニー主催会議	H004　HR（新人研修講師）	H003　HR（採用）	C001 1Cカンパニー販管費	J037　クリプトアニメラボLLP	P25034 京都府ZET-valleyオフィス 2025	H002　HR	J041　ヨムリエ	C001 1Cカンパニー販管費	C004 4Cカンパニー販管費	A007　新規事業開発	A007　新規事業開発	H004　HR（新人研修講師）	A007　新規事業開発	J057 周年イベント委員会	P25015 千代田区産業コミュニティ形成支援事業　千代田CULTURE × TECH		C003 3Cカンパニー販管費			P25017 新川崎地区ネットワーク協議会		A006　カンパニー主催会議			J044  人材事業		J055 プロデュース委員会	J056 情報システム委員会	P25001 Startup Hub Tokyo 丸の内	P25012 K-NIC運営業務	A007　新規事業開発		A007　新規事業開発	H009　Web		H006　連携促進	P25031 令和7年度_FTC事業化プログラム	J001　京都オフィス（StartupSide Kyoto）			A005　有給・特別休暇・休職	A007　新規事業開発	H013　クリエイティブチーム	J055 プロデュース委員会	P25039 埼玉県学生向け起業伴走プログラム	J053 アニハッチ		H014　Linked.Assist顧客業務対応用		P25002 六郷BASE	A006　カンパニー主催会議			C001 1Cカンパニー販管費	"J010	SEEDex"	P25049 令和8年度「新事業分野開拓者認定制度（東京都トライアル発注）」に関する運営業務委託		P25009 かわさき新産業創造センター	P25003 メグリバ(コワーキング)	P25012 K-NIC運営業務	H007　研修運営・講師	P25001 Startup Hub Tokyo 丸の内	P25040 愛知県起業家創出促進事業　Aichi Startup Battle	J028　ビジネスセンター名古屋錦（StartupSide Nagoya）	C001 1Cカンパニー販管費	P25011 ものムーブ2025	A009　HR面談	P25043 世界に羽ばたくアニメーター等育成支援事業運営業務委託	H001　財務総務	J051 StartupSide Magazine	J051 StartupSide Magazine	P25018 IntoGlobal	P25010 東京農工大学西東京国際イノベーション共創拠点 オフィス会員及びパートナー会員のサポート業務	P25013 「うべ産業共創イノベーションセンター 志」運営業務	J062 ツクリエインド	P25003 メグリバ(コワーキング)				P25009 かわさき新産業創造センター			P25002 六郷BASE	C001 1Cカンパニー販管費		P25047 名古屋市補助金アクセラ	P25008 嘉手納町マルチメディアセンター	H003　HR（採用）	P25009 かわさき新産業創造センター	P25017 新川崎地区ネットワーク協議会	P25040 愛知県起業家創出促進事業　Aichi Startup Battle	P25012 K-NIC運営業務	J001　京都オフィス（StartupSide Kyoto）	H005　広報	P25013 「うべ産業共創イノベーションセンター 志」運営業務	P25010 東京農工大学西東京国際イノベーション共創拠点 オフィス会員及びパートナー会員のサポート業務		P25034 京都府ZET-valleyオフィス 2025	P25034 京都府ZET-valleyオフィス 2025				P25020 神奈川県_令和7年度次世代起業家創出事業	P25034 京都府ZET-valleyオフィス 2025			C003 3Cカンパニー販管費	H001　財務総務	C001 1Cカンパニー販管費	H003　HR（採用）
C004 4Cカンパニー販管費	C004 4Cカンパニー販管費	J053 アニハッチ	H004　HR（新人研修講師）		P25023 令和６年度「新事業分野開拓者認定制度(東京都トライアル発注)」	C002 2Cカンパニー販管費	P25009 かわさき新産業創造センター	P25033 令和７年度沖縄県立芸術大学キャリア支援事業	C003 3Cカンパニー販管費	H008　ITインフラ	H008　ITインフラ	H003　HR（採用）	P25007 TCIC	P25037 KYO-CCE Lab	H003　HR（採用）	P25001 Startup Hub Tokyo 丸の内	P25001 Startup Hub Tokyo 丸の内	J008　商品開発事業	J007　グローバル事業	J003 StartupSide Tokyo（東京自主インキュ）	J053 アニハッチ	A008　終了PJ締め作業及び実績報告書作成	P25002 六郷BASE	P25016 新宿区経営サポート事業		H003　HR（採用）			P25031 令和7年度_FTC事業化プログラム		H003　HR（採用）			P25005 イデタチ東京・ツムギバ					P25030 プロロジス	C004 4Cカンパニー販管費		J029   StartupSide Moriya（守谷自主インキュ）	H013　クリエイティブチーム		J041　ヨムリエ	P25056 2025年度NEDO_SSA運営	J055 プロデュース委員会			C001 1Cカンパニー販管費	H003　HR（採用）	J063 スタートアップビザ	P25012 K-NIC運営業務		P25006 南相馬市産業創造センター		P25012 K-NIC運営業務		P25020 神奈川県_令和7年度次世代起業家創出事業	C002 2Cカンパニー販管費			J057 周年イベント委員会	J023　イノベリア			P25017 新川崎地区ネットワーク協議会	P25013 「うべ産業共創イノベーションセンター 志」運営業務			P25028 令和7年度商業者創業支援プログラム事業	P25047 名古屋市補助金アクセラ	J055 プロデュース委員会	J003 StartupSide Tokyo（東京自主インキュ）	P25015 千代田区産業コミュニティ形成支援事業　千代田CULTURE × TECH	P25022 東京都ベンチャー技術大賞		H002　HR	P25003 メグリバ(コワーキング)	J052 起業支援者教育事業	P25043 世界に羽ばたくアニメーター等育成支援事業運営業務委託	P25023 令和６年度「新事業分野開拓者認定制度(東京都トライアル発注)」		J063 スタートアップビザ	P25013 「うべ産業共創イノベーションセンター 志」運営業務				P25012 K-NIC運営業務				P25008 嘉手納町マルチメディアセンター		P25058 マンガテック2026	P25033 令和７年度沖縄県立芸術大学キャリア支援事業		P25015 千代田区産業コミュニティ形成支援事業　千代田CULTURE × TECH	P25031 令和7年度_FTC事業化プログラム	P25047 名古屋市補助金アクセラ	P25020 神奈川県_令和7年度次世代起業家創出事業	J061 イベント戦略室	P25009 かわさき新産業創造センター		P25032 品川区スタートアップ・エコシステム推進事業業務委託		P25035 京都芸術センター・アート×ビジネス推進事業 R7	P25046 2025年度大阪府テック_シーズ開拓					P25035 京都芸術センター・アート×ビジネス推進事業 R7			C004 4Cカンパニー販管費	H002　HR	H003　HR（採用）	H004　HR（新人研修講師）
J001　京都オフィス（StartupSide Kyoto）	J001　京都オフィス（StartupSide Kyoto）				P25032 品川区スタートアップ・エコシステム推進事業業務委託	H003　HR（採用）		P25041 嘉手納町プログラミング力育成事業(小学校)	H003　HR（採用）	"J010	SEEDex"	H009　Web	J042　起業支援ラボ	P25018 IntoGlobal	P25046 2025年度大阪府テック_シーズ開拓		P25003 メグリバ(コワーキング)	P25049 令和8年度「新事業分野開拓者認定制度（東京都トライアル発注）」に関する運営業務委託	P25029 京都市コンテンツ制作支援・ＰＲ支援業務	J040 EV System	J060 社長室		H013　クリエイティブチーム	P25020 神奈川県_令和7年度次世代起業家創出事業	P25022 東京都ベンチャー技術大賞		H007　研修運営・講師					H006　連携促進									J001　京都オフィス（StartupSide Kyoto）		P25030 プロロジス	J042　起業支援ラボ		J057 周年イベント委員会		J057 周年イベント委員会			H003　HR（採用）	H005　広報	P25001 Startup Hub Tokyo 丸の内	P25020 神奈川県_令和7年度次世代起業家創出事業				P25016 新宿区経営サポート事業			H003　HR（採用）			P25001 Startup Hub Tokyo 丸の内	J030  投資_ストーリア			P25031 令和7年度_FTC事業化プログラム	P25040 愛知県起業家創出促進事業　Aichi Startup Battle					P25036 あいち補助金2025	J055 プロデュース委員会	P25016 新宿区経営サポート事業	P25050 品川ビジネス創造コンテスト		J059 StartupSide委員会	P25011 ものムーブ2025	J054　StartupSide Tokyo 7F移転プロジェクト				J065 スタートアップセミナー					P25031 令和7年度_FTC事業化プログラム				P25041 嘉手納町プログラミング力育成事業(小学校)			P25041 嘉手納町プログラミング力育成事業(小学校)		P25032 品川区スタートアップ・エコシステム推進事業業務委託			P25056 2025年度NEDO_SSA運営	P25034 京都府ZET-valleyオフィス 2025	P25012 K-NIC運営業務		P25038 早暁プログラム運営支援											C005 事業開発カンパニー販管費	H003　HR（採用）	H004　HR（新人研修講師）	J052 起業支援者教育事業
P25029 京都市コンテンツ制作支援・ＰＲ支援業務	J017　おやじキャンプ飯ビジネスプロデュース事業				P25049 令和8年度「新事業分野開拓者認定制度（東京都トライアル発注）」に関する運営業務委託	J057 周年イベント委員会		P25042 嘉手納町プログラミング力育成事業(中学生)	H007　研修運営・講師	J056 情報システム委員会	H013　クリエイティブチーム	J057 周年イベント委員会	P25043 世界に羽ばたくアニメーター等育成支援事業運営業務委託	P25054 大阪産業局 スタートアップリスト化作業		P25005 イデタチ東京・ツムギバ		P25037 KYO-CCE Lab	J062 ツクリエインド	P25001 Startup Hub Tokyo 丸の内		J007　グローバル事業		P25039 埼玉県学生向け起業伴走プログラム		J057 周年イベント委員会					H013　クリエイティブチーム									J002　大阪オフィス（StartupSide Osaka）		P25032 品川区スタートアップ・エコシステム推進事業業務委託	J057 周年イベント委員会		P25009 かわさき新産業創造センター		J061 イベント戦略室			J029   StartupSide Moriya（守谷自主インキュ）	H013　クリエイティブチーム	P25002 六郷BASE	P25056 2025年度NEDO_SSA運営				P25020 神奈川県_令和7年度次世代起業家創出事業			P25022 東京都ベンチャー技術大賞			P25005 イデタチ東京・ツムギバ	J043 Evocare									P25040 愛知県起業家創出促進事業　Aichi Startup Battle	J066 工数・経費低減対応	P25039 埼玉県学生向け起業伴走プログラム				P25013 「うべ産業共創イノベーションセンター 志」運営業務	P25003 メグリバ(コワーキング)				P25007 TCIC									P25042 嘉手納町プログラミング力育成事業(中学生)					P25037 KYO-CCE Lab				P25035 京都芸術センター・アート×ビジネス推進事業 R7	P25020 神奈川県_令和7年度次世代起業家創出事業													H003　HR（採用）	H004　HR（新人研修講師）	P25001 Startup Hub Tokyo 丸の内	P25003 メグリバ(コワーキング)
P25037 KYO-CCE Lab	J061 イベント戦略室				P25059 創業支援等事業計画機能強化事業にかかる創業支援担当者向け講習会運営事務局業務	P25003 メグリバ(コワーキング)			P25002 六郷BASE	J064 AI人物探索「Athena -アテナ-」	J023　イノベリア	P25001 Startup Hub Tokyo 丸の内				P25013 「うべ産業共創イノベーションセンター 志」運営業務			J063 スタートアップビザ	P25010 東京農工大学西東京国際イノベーション共創拠点 オフィス会員及びパートナー会員のサポート業務		J031　スタートアップバイパス				P25002 六郷BASE					J052 起業支援者教育事業									J059 StartupSide委員会		P25038 早暁プログラム運営支援	J063 スタートアップビザ		P25012 K-NIC運営業務		P25023 令和６年度「新事業分野開拓者認定制度(東京都トライアル発注)」			J055 プロデュース委員会	J042　起業支援ラボ	P25003 メグリバ(コワーキング)					P25021 江戸川区アントレプレナー交流事業　EDONOWA			P25050 品川ビジネス創造コンテスト			P25049 令和8年度「新事業分野開拓者認定制度（東京都トライアル発注）」に関する運営業務委託	J044  人材事業										P25023 令和６年度「新事業分野開拓者認定制度(東京都トライアル発注)」	P25040 愛知県起業家創出促進事業　Aichi Startup Battle				P25015 千代田区産業コミュニティ形成支援事業　千代田CULTURE × TECH	P25005 イデタチ東京・ツムギバ				P25044 横浜市SWITCHプログラム														P25039 埼玉県学生向け起業伴走プログラム				P25037 KYO-CCE Lab														H004　HR（新人研修講師）	H005　広報	P25008 嘉手納町マルチメディアセンター	P25011 ものムーブ2025
	P25034 京都府ZET-valleyオフィス 2025					P25013 「うべ産業共創イノベーションセンター 志」運営業務			P25006 南相馬市産業創造センター	P25007 TCIC	J049　ISMS取得	P25005 イデタチ東京・ツムギバ				P25015 千代田区産業コミュニティ形成支援事業　千代田CULTURE × TECH			P25012 K-NIC運営業務	P25011 ものムーブ2025		J044  人材事業				P25031 令和7年度_FTC事業化プログラム					J055 プロデュース委員会									P25034 京都府ZET-valleyオフィス 2025			P25002 六郷BASE		P25017 新川崎地区ネットワーク協議会		P25034 京都府ZET-valleyオフィス 2025			P25001 Startup Hub Tokyo 丸の内	J051 StartupSide Magazine	P25007 TCIC					P25047 名古屋市補助金アクセラ							J056 情報システム委員会										P25032 品川区スタートアップ・エコシステム推進事業業務委託	P25051 2025明治大学ビジネスチャレンジ				P25016 新宿区経営サポート事業	P25011 ものムーブ2025				P25052 Tokyoグローバルイノベーションチャレンジ														P25047 名古屋市補助金アクセラ				P25053 アニハッチ撮影編集業務														J002　大阪オフィス（StartupSide Osaka）	J042　起業支援ラボ	P25028 令和7年度商業者創業支援プログラム事業	P25013 「うべ産業共創イノベーションセンター 志」運営業務
